Date,Store,Product,Promotion,Sales
13-03-2023,1,2,1,142
14-03-2023,3,4,0,104
15-03-2023,4,1,1,102
16-03-2023,4,3,0,633
17-03-2023,4,2,1,207
18-03-2023,4,5,1,675
19-03-2023,3,7,0,489
20-03-2023,4,4,1,183
21-03-2023,3,5,0,315
22-03-2023,4,2,0,206
23-03-2023,4,9,0,516
24-03-2023,2,4,0,411
25-03-2023,2,7,0,112
26-03-2023,1,2,0,388
27-03-2023,1,2,0,473
28-03-2023,3,9,1,227
29-03-2023,4,8,1,164
30-03-2023,4,6,0,535
31-03-2023,2,8,1,997
01-04-2023,3,4,1,613
02-04-2023,3,1,0,801
03-04-2023,1,5,0,582
04-04-2023,1,2,0,549
05-04-2023,4,7,1,707
06-04-2023,1,3,0,951
07-04-2023,3,5,0,636
08-04-2023,2,2,1,758
09-04-2023,3,4,1,458
10-04-2023,2,1,0,718
11-04-2023,1,8,1,529
12-04-2023,1,9,1,759
13-04-2023,1,6,0,658
14-04-2023,2,8,0,199
15-04-2023,2,9,0,381
16-04-2023,1,6,0,460
17-04-2023,2,3,0,465
18-04-2023,2,6,0,946
19-04-2023,4,7,1,320
20-04-2023,4,4,1,307
21-04-2023,4,9,1,627
22-04-2023,2,5,1,197
23-04-2023,3,4,0,604
24-04-2023,2,5,0,522
25-04-2023,2,3,1,301
26-04-2023,2,4,0,448
27-04-2023,2,1,0,518
28-04-2023,2,1,0,692
29-04-2023,3,4,1,927
30-04-2023,3,3,1,264
01-05-2023,4,4,0,740
02-05-2023,4,4,0,931
03-05-2023,1,2,0,576
04-05-2023,4,9,0,226
05-05-2023,4,1,1,798
06-05-2023,2,6,0,271
07-05-2023,2,4,0,417
08-05-2023,4,1,1,887
09-05-2023,2,8,1,285
10-05-2023,4,6,0,880
11-05-2023,1,5,1,766
12-05-2023,2,5,0,481
13-05-2023,3,5,1,424
14-05-2023,2,9,1,799
15-05-2023,3,7,0,415
16-05-2023,3,6,0,625
17-05-2023,2,6,1,620
18-05-2023,3,2,0,195
19-05-2023,4,1,1,229
20-05-2023,3,3,0,235
21-05-2023,3,2,0,657
22-05-2023,1,1,1,879
23-05-2023,3,9,1,364
24-05-2023,3,8,1,378
25-05-2023,3,1,1,688
26-05-2023,4,9,1,402
27-05-2023,3,2,0,453
28-05-2023,4,3,0,551
29-05-2023,4,9,1,390
30-05-2023,4,8,0,509
31-05-2023,1,4,0,847
01-06-2023,3,1,1,599
02-06-2023,4,4,0,127
03-06-2023,3,7,0,402
04-06-2023,2,2,0,347
05-06-2023,2,2,0,688
06-06-2023,2,2,1,999
07-06-2023,3,1,1,899
08-06-2023,3,4,1,211
09-06-2023,3,2,0,640
10-06-2023,3,5,1,516
11-06-2023,1,3,0,803
12-06-2023,1,7,1,393
13-06-2023,1,4,0,958
14-06-2023,4,6,1,301
15-06-2023,4,6,0,629
16-06-2023,4,5,1,463
17-06-2023,2,9,1,319
18-06-2023,4,8,0,851
19-06-2023,1,7,0,331
20-06-2023,2,4,1,927
21-06-2023,1,9,0,301
22-06-2023,2,4,1,493
23-06-2023,1,7,0,460
24-06-2023,2,3,0,132
25-06-2023,1,3,0,854
26-06-2023,3,8,1,999
27-06-2023,2,7,1,817
28-06-2023,2,1,1,992
29-06-2023,1,3,0,826
30-06-2023,3,1,1,564
01-07-2023,3,4,1,565
02-07-2023,3,4,0,142
03-07-2023,3,2,0,233
04-07-2023,2,2,0,441
05-07-2023,2,6,0,987
06-07-2023,4,7,0,293
07-07-2023,2,7,0,676
08-07-2023,2,2,0,110
09-07-2023,4,7,1,524
10-07-2023,3,7,1,589
11-07-2023,3,2,0,436
12-07-2023,1,7,0,869
13-07-2023,1,7,0,672
14-07-2023,2,6,1,655
15-07-2023,3,8,0,120
16-07-2023,4,6,0,560
17-07-2023,3,9,0,263
18-07-2023,4,9,0,180
19-07-2023,1,8,1,707
20-07-2023,4,6,0,405
21-07-2023,1,8,0,906
22-07-2023,2,6,1,135
23-07-2023,4,8,1,677
24-07-2023,1,2,1,984
25-07-2023,1,5,1,365
26-07-2023,3,8,1,511
27-07-2023,1,3,1,651
28-07-2023,4,2,0,481
29-07-2023,1,5,1,815
30-07-2023,4,5,1,450
31-07-2023,4,9,1,452
01-08-2023,2,8,1,583
02-08-2023,4,2,1,760
03-08-2023,1,2,0,212
04-08-2023,3,1,1,339
05-08-2023,1,8,0,493
06-08-2023,3,7,0,506
07-08-2023,2,9,1,282
08-08-2023,1,2,0,270
09-08-2023,3,7,0,169
10-08-2023,1,9,0,120
11-08-2023,1,3,1,317
12-08-2023,3,5,0,137
13-08-2023,3,7,1,983
14-08-2023,2,8,0,321
15-08-2023,1,9,1,408
16-08-2023,3,6,0,389
17-08-2023,3,8,0,582
18-08-2023,4,4,0,652
19-08-2023,3,2,1,403
20-08-2023,2,5,1,944
21-08-2023,2,3,1,191
22-08-2023,3,7,1,345
23-08-2023,2,1,1,833
24-08-2023,1,8,1,876
25-08-2023,3,7,1,168
26-08-2023,4,3,1,584
27-08-2023,3,1,1,464
28-08-2023,2,7,1,339
29-08-2023,1,4,1,191
30-08-2023,2,9,1,905
31-08-2023,3,2,0,925
01-09-2023,3,1,0,307
02-09-2023,4,2,1,131
03-09-2023,2,9,1,524
04-09-2023,4,6,1,892
05-09-2023,2,4,1,607
06-09-2023,3,2,1,716
07-09-2023,4,5,1,815
08-09-2023,2,2,1,944
09-09-2023,3,9,0,994
10-09-2023,1,9,0,418
11-09-2023,3,2,0,701
12-09-2023,1,8,0,775
13-09-2023,2,8,0,457
14-09-2023,4,2,1,331
15-09-2023,4,9,0,657
16-09-2023,2,5,1,368
17-09-2023,4,2,1,983
18-09-2023,4,4,1,804
19-09-2023,1,8,0,428
20-09-2023,4,1,1,644
21-09-2023,2,6,0,166
22-09-2023,2,6,0,894
23-09-2023,4,3,1,593
24-09-2023,1,5,1,707
25-09-2023,3,1,1,238
26-09-2023,1,4,1,510
27-09-2023,4,1,0,521
28-09-2023,2,5,1,493
29-09-2023,3,5,0,566
30-09-2023,2,4,1,914
01-10-2023,3,3,1,885
02-10-2023,2,5,0,821
03-10-2023,1,6,0,977
04-10-2023,1,9,1,626
05-10-2023,1,3,1,589
06-10-2023,1,4,1,513
07-10-2023,1,9,1,445
08-10-2023,1,3,0,199
09-10-2023,1,1,0,762
10-10-2023,3,1,0,831
11-10-2023,4,1,1,609
12-10-2023,3,4,0,699
13-10-2023,3,1,0,299
14-10-2023,4,3,1,327
15-10-2023,2,7,1,516
16-10-2023,4,1,0,577
17-10-2023,1,5,0,861
18-10-2023,4,2,0,737
19-10-2023,3,4,1,743
20-10-2023,3,1,1,285
21-10-2023,3,7,1,903
22-10-2023,3,5,0,161
23-10-2023,2,9,1,653
24-10-2023,4,4,1,392
25-10-2023,2,3,1,399
26-10-2023,1,5,1,296
27-10-2023,3,5,0,232
28-10-2023,3,1,0,469
29-10-2023,3,1,1,512
30-10-2023,3,2,0,231
31-10-2023,2,2,0,911
01-11-2023,3,6,0,984
02-11-2023,2,2,0,551
03-11-2023,4,8,1,774
04-11-2023,2,6,1,987
05-11-2023,2,3,0,235
06-11-2023,3,8,0,267
07-11-2023,3,9,0,344
08-11-2023,1,2,0,127
09-11-2023,3,8,1,787
10-11-2023,3,2,1,888
11-11-2023,4,5,1,117
12-11-2023,2,3,0,729
13-11-2023,1,1,0,837
14-11-2023,1,9,1,803
15-11-2023,3,9,0,518
16-11-2023,4,9,0,760
17-11-2023,2,1,1,298
18-11-2023,1,5,0,626
19-11-2023,4,6,1,278
20-11-2023,4,7,1,912
21-11-2023,3,3,1,940
22-11-2023,1,4,1,184
23-11-2023,4,8,1,860
24-11-2023,4,5,1,377
25-11-2023,2,6,1,458
26-11-2023,2,9,0,736
27-11-2023,1,4,1,101
28-11-2023,4,2,0,333
29-11-2023,3,4,0,117
30-11-2023,2,3,0,914
01-12-2023,4,7,1,720
02-12-2023,3,2,0,962
03-12-2023,1,1,0,332
04-12-2023,3,7,0,411
05-12-2023,2,1,0,656
06-12-2023,3,5,1,986
07-12-2023,3,7,1,210
08-12-2023,3,3,1,258
09-12-2023,2,8,1,416
10-12-2023,4,8,1,945
11-12-2023,1,4,1,489
12-12-2023,1,9,1,723
13-12-2023,1,9,1,677
14-12-2023,2,9,0,606
15-12-2023,4,6,0,216
16-12-2023,2,9,0,254
17-12-2023,1,1,1,975
18-12-2023,3,8,1,334
19-12-2023,3,6,1,850
20-12-2023,3,8,0,778
21-12-2023,1,1,1,764
22-12-2023,4,9,1,340
23-12-2023,4,6,0,430
24-12-2023,4,5,0,317
25-12-2023,3,1,0,378
26-12-2023,3,8,0,677
27-12-2023,2,3,0,382
28-12-2023,4,9,0,963
29-12-2023,2,3,1,715
30-12-2023,3,2,0,359
31-12-2023,4,4,0,815
01-01-2024,1,3,1,792
02-01-2024,3,4,1,331
03-01-2024,4,6,0,590
04-01-2024,1,3,0,336
05-01-2024,2,5,1,323
06-01-2024,4,5,0,954
07-01-2024,1,7,1,134
08-01-2024,2,4,1,554
09-01-2024,3,3,0,358
10-01-2024,2,2,1,684
11-01-2024,4,6,1,240
12-01-2024,2,4,0,105
13-01-2024,3,4,1,524
14-01-2024,2,1,0,135
15-01-2024,2,8,0,754
16-01-2024,4,2,1,779
17-01-2024,1,3,0,728
18-01-2024,2,9,0,574
19-01-2024,1,1,1,651
20-01-2024,4,7,1,937
21-01-2024,1,4,1,723
22-01-2024,4,5,0,589
23-01-2024,2,3,1,533
24-01-2024,3,1,0,694
25-01-2024,4,9,0,258
26-01-2024,4,7,0,829
27-01-2024,3,4,1,656
28-01-2024,2,8,1,296
29-01-2024,2,3,1,401
30-01-2024,2,1,1,440
31-01-2024,3,2,1,667
01-02-2024,2,9,0,472
02-02-2024,4,8,0,552
03-02-2024,1,4,1,162
04-02-2024,2,4,1,674
05-02-2024,1,8,1,640
06-02-2024,1,4,0,916
07-02-2024,2,5,0,510
08-02-2024,1,5,0,864
09-02-2024,1,8,1,254
10-02-2024,4,9,1,444
11-02-2024,3,7,0,800
12-02-2024,1,6,1,498
13-02-2024,2,6,1,506
14-02-2024,2,7,1,260
15-02-2024,2,2,1,102
16-02-2024,1,7,0,478
17-02-2024,3,5,0,925
18-02-2024,4,6,1,134
19-02-2024,2,8,1,657
20-02-2024,1,6,0,394
21-02-2024,2,2,1,891
22-02-2024,2,5,1,358
23-02-2024,4,3,0,106
24-02-2024,1,6,0,550
25-02-2024,1,2,0,909
26-02-2024,2,1,1,528
27-02-2024,2,8,1,249
28-02-2024,2,5,0,353
29-02-2024,1,1,0,905
01-03-2024,3,4,0,886
02-03-2024,1,6,1,300
03-03-2024,3,6,1,452
04-03-2024,2,2,0,618
05-03-2024,3,4,1,429
06-03-2024,2,7,1,350
07-03-2024,2,5,0,459
08-03-2024,4,7,1,298
09-03-2024,1,1,1,391
10-03-2024,1,4,0,770
11-03-2024,1,8,0,547
12-03-2024,3,3,0,424
13-03-2024,1,7,0,376
14-03-2024,3,8,1,813
15-03-2024,4,8,0,536
16-03-2024,2,2,1,237
17-03-2024,4,8,1,479
18-03-2024,2,2,0,813
19-03-2024,2,4,0,611
20-03-2024,2,7,0,552
21-03-2024,1,4,0,648
22-03-2024,1,6,0,783
23-03-2024,1,5,0,279
24-03-2024,4,6,1,426
25-03-2024,2,3,1,804
26-03-2024,2,3,0,798
27-03-2024,3,8,1,155
28-03-2024,1,7,0,646
29-03-2024,4,2,0,435
30-03-2024,2,1,1,798
31-03-2024,1,7,1,426
01-04-2024,1,1,0,721
02-04-2024,3,6,0,286
03-04-2024,1,3,1,305
04-04-2024,1,2,1,111
05-04-2024,4,3,0,927
06-04-2024,3,1,0,283
07-04-2024,2,8,1,541
08-04-2024,4,5,1,185
09-04-2024,1,8,1,406
10-04-2024,4,2,1,108
11-04-2024,3,8,1,511
12-04-2024,3,2,1,762
13-04-2024,2,8,0,277
14-04-2024,3,5,0,494
15-04-2024,2,6,0,920
16-04-2024,3,8,1,783
17-04-2024,2,2,0,181
18-04-2024,2,8,1,899
19-04-2024,4,4,0,217
20-04-2024,3,5,0,882
21-04-2024,2,4,1,879
22-04-2024,4,5,1,328
23-04-2024,1,6,1,773
24-04-2024,4,2,0,589
25-04-2024,2,2,0,271
26-04-2024,2,4,1,846
27-04-2024,2,4,0,577
28-04-2024,3,3,0,391
29-04-2024,1,1,0,756
30-04-2024,3,2,1,954
01-05-2024,1,3,1,229
02-05-2024,4,1,1,304
03-05-2024,1,3,0,114
04-05-2024,1,2,0,166
05-05-2024,2,4,1,237
06-05-2024,1,1,1,618
07-05-2024,3,5,1,867
08-05-2024,2,9,0,713
09-05-2024,1,3,1,257
10-05-2024,4,4,1,769
11-05-2024,3,3,0,515
12-05-2024,1,2,1,452
13-05-2024,2,9,1,462
14-05-2024,3,1,0,451
15-05-2024,2,6,0,160
16-05-2024,4,4,1,353
17-05-2024,3,4,1,559
18-05-2024,4,3,0,256
19-05-2024,1,2,1,709
20-05-2024,3,9,0,242
21-05-2024,4,5,1,383
22-05-2024,1,4,1,360
23-05-2024,1,1,0,562
24-05-2024,2,4,0,893
25-05-2024,1,7,1,752
26-05-2024,4,2,1,308
27-05-2024,4,8,1,546
28-05-2024,3,3,0,387
29-05-2024,1,1,1,636
30-05-2024,3,1,0,735
31-05-2024,4,3,1,715
01-06-2024,1,5,1,921
02-06-2024,1,9,0,927
03-06-2024,3,8,1,335
04-06-2024,1,8,0,787
05-06-2024,2,2,1,217
06-06-2024,3,8,1,233
07-06-2024,2,3,1,741
08-06-2024,4,6,0,612
09-06-2024,2,4,0,347
10-06-2024,3,8,1,393
11-06-2024,3,7,0,841
12-06-2024,3,1,0,240
13-06-2024,3,1,1,732
14-06-2024,2,6,0,748
15-06-2024,1,9,1,664
16-06-2024,1,5,0,337
17-06-2024,2,8,1,894
18-06-2024,3,2,0,317
19-06-2024,3,2,0,521
20-06-2024,3,5,0,286
21-06-2024,2,7,0,723
22-06-2024,1,2,1,390
23-06-2024,3,9,1,237
24-06-2024,4,8,0,298
25-06-2024,2,6,0,975
26-06-2024,2,7,1,303
27-06-2024,4,1,0,252
28-06-2024,1,8,0,123
29-06-2024,4,1,0,273
30-06-2024,3,5,0,794
01-07-2024,4,8,0,866
02-07-2024,3,4,0,517
03-07-2024,2,3,0,773
04-07-2024,3,9,1,682
05-07-2024,4,8,1,389
06-07-2024,3,1,0,892
07-07-2024,3,3,1,229
08-07-2024,4,7,0,830
09-07-2024,2,3,1,942
10-07-2024,2,4,0,214
11-07-2024,1,8,0,946
12-07-2024,2,6,1,488
13-07-2024,1,7,1,284
14-07-2024,2,7,0,242
15-07-2024,4,9,0,426
16-07-2024,3,7,0,694
17-07-2024,4,2,1,715
18-07-2024,4,6,0,104
19-07-2024,2,8,0,163
20-07-2024,1,3,1,637
21-07-2024,4,4,0,179
22-07-2024,2,4,1,866
23-07-2024,4,7,1,960
24-07-2024,2,8,0,993
25-07-2024,4,3,1,652
26-07-2024,2,7,0,361
27-07-2024,1,1,1,303
28-07-2024,4,4,1,453
29-07-2024,3,2,0,217
30-07-2024,2,9,0,580
31-07-2024,2,7,0,458
01-08-2024,4,2,1,439
02-08-2024,2,2,0,231
03-08-2024,3,5,0,358
04-08-2024,4,3,0,861
05-08-2024,3,7,1,557
06-08-2024,1,9,0,218
07-08-2024,1,6,0,137
08-08-2024,1,2,0,849
09-08-2024,2,4,1,214
10-08-2024,4,5,1,886
11-08-2024,2,7,1,905
12-08-2024,2,1,0,933
13-08-2024,1,3,1,156
14-08-2024,3,6,0,210
15-08-2024,2,1,0,340
16-08-2024,2,5,1,282
17-08-2024,3,2,0,813
18-08-2024,3,1,0,430
19-08-2024,3,5,1,788
20-08-2024,4,2,0,784
21-08-2024,4,4,1,996
22-08-2024,4,2,1,623
23-08-2024,3,7,1,158
24-08-2024,4,2,1,661
25-08-2024,4,1,0,185
26-08-2024,4,1,0,950
27-08-2024,2,5,0,182
28-08-2024,3,6,0,517
29-08-2024,1,8,1,416
30-08-2024,2,8,0,408
31-08-2024,2,9,1,517
01-09-2024,4,7,1,872
02-09-2024,1,8,1,356
03-09-2024,3,6,0,407
04-09-2024,4,3,0,750
05-09-2024,3,5,1,630
06-09-2024,4,6,0,767
07-09-2024,1,9,1,555
08-09-2024,4,1,0,738
09-09-2024,1,3,0,505
10-09-2024,3,3,1,653
11-09-2024,3,6,0,751
12-09-2024,3,3,0,435
13-09-2024,4,2,1,981
14-09-2024,2,1,1,476
15-09-2024,2,2,0,793
16-09-2024,3,1,0,458
17-09-2024,4,6,1,920
18-09-2024,3,1,1,211
19-09-2024,2,9,1,109
20-09-2024,2,6,0,479
21-09-2024,2,7,0,885
22-09-2024,4,1,0,842
23-09-2024,1,2,0,606
24-09-2024,2,8,0,462
25-09-2024,1,6,1,195
26-09-2024,3,7,0,165
27-09-2024,1,3,1,373
28-09-2024,1,9,1,522
29-09-2024,1,8,0,481
30-09-2024,1,9,1,149
01-10-2024,1,9,0,499
02-10-2024,3,1,1,843
03-10-2024,4,6,0,220
04-10-2024,1,8,1,331
05-10-2024,4,8,0,820
06-10-2024,4,1,1,325
07-10-2024,2,3,0,741
08-10-2024,4,5,1,202
09-10-2024,3,9,1,344
10-10-2024,1,7,0,354
11-10-2024,3,2,1,455
12-10-2024,2,2,0,511
13-10-2024,1,2,0,915
14-10-2024,3,3,1,739
15-10-2024,2,4,1,806
16-10-2024,3,8,0,431
17-10-2024,1,1,0,835
18-10-2024,1,8,0,504
19-10-2024,1,8,1,725
20-10-2024,2,2,1,333
21-10-2024,2,7,1,856
22-10-2024,2,2,1,784
23-10-2024,1,8,1,208
24-10-2024,2,1,1,811
25-10-2024,3,4,0,843
26-10-2024,1,5,0,501
27-10-2024,1,5,1,871
28-10-2024,4,8,1,430
29-10-2024,1,4,1,948
30-10-2024,3,4,0,751
31-10-2024,3,9,1,159
01-11-2024,4,4,0,662
02-11-2024,3,2,0,503
03-11-2024,2,9,1,940
04-11-2024,1,6,0,414
05-11-2024,2,8,1,541
06-11-2024,4,3,0,695
07-11-2024,2,5,1,320
08-11-2024,1,3,0,332
09-11-2024,2,8,1,622
10-11-2024,1,7,1,439
11-11-2024,3,1,1,938
12-11-2024,2,1,1,993
13-11-2024,3,2,0,677
14-11-2024,1,4,0,208
15-11-2024,4,4,0,799
16-11-2024,2,9,1,908
17-11-2024,2,2,1,333
18-11-2024,4,1,0,647
19-11-2024,1,8,1,308
20-11-2024,4,5,0,741
21-11-2024,2,6,1,567
22-11-2024,1,2,0,436
23-11-2024,1,9,1,691
24-11-2024,4,4,1,951
25-11-2024,2,7,1,559
26-11-2024,1,5,0,381
27-11-2024,1,1,1,329
28-11-2024,4,7,0,276
29-11-2024,3,1,0,828
30-11-2024,3,5,0,986
01-12-2024,2,5,0,804
02-12-2024,4,4,1,142
03-12-2024,1,6,0,781
04-12-2024,1,2,1,126
05-12-2024,3,4,0,864
06-12-2024,3,6,0,280
07-12-2024,1,2,0,801
08-12-2024,2,3,0,383
09-12-2024,2,1,1,614
10-12-2024,4,9,0,478
11-12-2024,1,9,0,318
12-12-2024,2,5,1,595
13-12-2024,2,4,0,947
14-12-2024,1,9,0,576
15-12-2024,4,2,0,441
16-12-2024,3,9,1,485
17-12-2024,2,9,1,454
18-12-2024,4,7,0,903
19-12-2024,3,7,1,780
20-12-2024,4,9,0,313
21-12-2024,3,1,1,714
22-12-2024,3,3,0,539
23-12-2024,3,7,0,593
24-12-2024,3,4,0,718
25-12-2024,1,8,1,287
26-12-2024,2,7,1,547
27-12-2024,1,1,0,553
28-12-2024,1,9,1,199
29-12-2024,1,6,1,158
30-12-2024,2,9,1,426
31-12-2024,2,5,1,232
