InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category
INV1040,CLO183,Women's Summer Dress,1,01/15/2024,38.25,10061,Canada,Clothing
INV1041,GRO459,Green Tea,1,01/15/2024,66.92,10050,Germany,Groceries
INV1042,ELE990,Smartphone,3,01/16/2024,76.38,10054,Germany,Electronics
INV1043,CLO576,T-Shirt,3,01/16/2024,22.48,10063,Australia,Clothing
INV1044,GRO293,Coffee Beans,4,01/17/2024,101.41,10002,Australia,Groceries
INV1045,GRO996,Organic Honey,5,01/17/2024,24.35,10050,Australia,Groceries
INV1046,ELE977,Bluetooth Speaker,2,01/17/2024,87.66,10006,Canada,Electronics
INV1047,ELE107,Headphones,1,01/18/2024,114.83,10020,Australia,Electronics
INV1048,GRO866,Pasta,5,01/18/2024,123.06,10072,USA,Groceries
INV1049,GRO678,Green Tea,3,01/18/2024,134.02,10038,UK,Groceries
INV1050,GRO551,Pasta,4,01/19/2024,136.94,10017,Germany,Groceries
INV1051,ELE106,Bluetooth Speaker,2,01/19/2024,26.25,10003,Germany,Electronics
INV1052,GRO647,Green Tea,5,01/19/2024,90.07,10088,UK,Groceries
INV1053,CLO622,T-Shirt,2,01/20/2024,166.77,10059,Australia,Clothing
INV1054,GRO631,Organic Honey,5,01/20/2024,75.59,10013,USA,Groceries
INV1055,ELE966,Headphones,4,01/21/2024,195.16,10008,Canada,Electronics
INV1056,CLO257,Pleated Skirt,3,01/21/2024,179.96,10089,USA,Clothing
INV1057,ELE308,Smartphone,1,01/21/2024,112.91,10052,Germany,Electronics
INV1058,CLO857,Women's Summer Dress,3,01/22/2024,90.12,10001,UK,Clothing
INV1059,ELE208,Headphones,2,01/22/2024,61.74,10083,Australia,Electronics
INV1060,ELE227,Bluetooth Speaker,5,01/22/2024,164.86,10091,USA,Electronics
INV1061,ELE116,Bluetooth Speaker,5,01/23/2024,133.77,10059,UK,Electronics
INV1062,GRO973,Green Tea,5,01/23/2024,60.1,10070,Australia,Groceries
INV1063,ELE848,Laptop Charger,1,01/24/2024,103.91,10043,UK,Electronics
INV1064,CLO575,Women's Summer Dress,2,01/24/2024,90.19,10007,UK,Clothing
INV1065,ELE804,Smartphone,3,01/24/2024,27.16,10046,Australia,Electronics
INV1066,ELE248,Headphones,3,01/25/2024,64.85,10034,Canada,Electronics
INV1067,CLO906,Men's Shirt,3,01/25/2024,190.37,10077,Germany,Clothing
INV1068,CLO647,Pleated Skirt,4,01/25/2024,40.78,10080,Canada,Clothing
INV1069,GRO606,Olive Oil,5,01/26/2024,39.39,10035,USA,Groceries
INV1070,ELE600,Bluetooth Speaker,1,01/26/2024,24.28,10049,USA,Electronics
INV1071,CLO160,Women's Summer Dress,3,01/26/2024,123.67,10003,USA,Clothing
INV1072,GRO230,Pasta,2,01/27/2024,161.89,10001,Canada,Groceries
INV1073,GRO623,Coffee Beans,3,01/27/2024,69.77,10005,Australia,Groceries
INV1074,GRO116,Olive Oil,2,01/28/2024,141.21,10053,USA,Groceries
INV1075,GRO417,Organic Honey,3,01/28/2024,149.12,10003,Germany,Groceries
INV1076,CLO473,T-Shirt,1,01/28/2024,181.64,10053,Canada,Clothing
INV1077,GRO588,Pasta,5,01/29/2024,137.28,10092,UK,Groceries
INV1078,GRO893,Olive Oil,5,01/29/2024,99.91,10062,Germany,Groceries
INV1079,GRO982,Olive Oil,2,01/29/2024,90.13,10017,Germany,Groceries
INV1080,ELE501,Laptop Charger,3,01/30/2024,167.49,10089,USA,Electronics
INV1081,ELE719,Smartphone,4,01/30/2024,101.4,10043,Australia,Electronics
INV1082,CLO282,Men's Shirt,4,01/30/2024,118.76,10033,USA,Clothing
INV1083,CLO496,Women's Summer Dress,2,01/31/2024,108.83,10073,Germany,Clothing
INV1084,ELE993,Laptop Charger,2,01/31/2024,14.64,10061,UK,Electronics
INV1085,ELE858,Smartphone,5,02-01-2024,110.5,10099,Australia,Electronics
INV1086,GRO128,Organic Honey,1,02-01-2024,86.37,10013,Germany,Groceries
INV1087,CLO338,Jeans,1,02-01-2024,155.97,10094,USA,Clothing
INV1088,GRO488,Organic Honey,1,02-02-2024,55.37,10047,Australia,Groceries
INV1089,CLO423,Pleated Skirt,2,02-02-2024,54.39,10014,USA,Clothing
INV1090,CLO684,T-Shirt,1,02-02-2024,84.41,10071,Canada,Clothing
INV1091,GRO904,Coffee Beans,5,02-03-2024,59.21,10077,Canada,Groceries
INV1092,ELE161,Smartphone,5,02-03-2024,197.95,10086,Canada,Electronics
INV1093,GRO960,Organic Honey,5,02-03-2024,167.82,10061,UK,Groceries
INV1094,GRO924,Coffee Beans,2,02-04-2024,16.98,10039,UK,Groceries
INV1095,GRO872,Green Tea,1,02-04-2024,108.47,10084,Canada,Groceries
INV1096,ELE672,Wireless Mouse,3,02-05-2024,85.29,10079,UK,Electronics
INV1097,ELE315,Wireless Mouse,3,02-05-2024,165.01,10081,Germany,Electronics
INV1098,CLO428,Women's Summer Dress,4,02-05-2024,120.22,10052,UK,Clothing
INV1099,GRO422,Olive Oil,3,02-06-2024,34.61,10023,USA,Groceries
INV1100,GRO837,Olive Oil,4,02-06-2024,16.73,10025,USA,Groceries
INV1101,CLO325,Men's Shirt,4,02-06-2024,80.81,10088,Australia,Clothing
INV1102,CLO553,Pleated Skirt,5,02-07-2024,51.83,10059,Germany,Clothing
INV1103,CLO692,T-Shirt,2,02-07-2024,104.08,10040,Germany,Clothing
INV1104,GRO422,Coffee Beans,2,02-07-2024,113.32,10028,Germany,Groceries
INV1105,CLO361,Women's Summer Dress,3,02-08-2024,174.95,10014,Canada,Clothing
INV1106,CLO670,Men's Shirt,1,02-08-2024,73.46,10044,Germany,Clothing
INV1107,CLO269,T-Shirt,4,02-09-2024,127.54,10064,Canada,Clothing
INV1108,GRO846,Green Tea,5,02-09-2024,175.65,10088,Australia,Groceries
INV1109,GRO493,Coffee Beans,3,02-09-2024,53.44,10070,UK,Groceries
INV1110,ELE623,Headphones,2,02-10-2024,64.54,10008,Australia,Electronics
INV1111,CLO116,Women's Summer Dress,2,02-10-2024,130.46,10087,Germany,Clothing
INV1112,GRO513,Pasta,2,02-10-2024,92.13,10000,UK,Groceries
INV1113,GRO671,Organic Honey,5,02-11-2024,29.48,10007,Canada,Groceries
INV1114,ELE830,Laptop Charger,1,02-11-2024,156.49,10087,USA,Electronics
INV1115,ELE121,Wireless Mouse,2,02-12-2024,24.19,10062,UK,Electronics
INV1116,ELE815,Headphones,4,02-12-2024,133.04,10010,Canada,Electronics
INV1117,CLO106,Jeans,5,02-12-2024,14.2,10080,Australia,Clothing
INV1118,GRO637,Coffee Beans,2,02/13/2024,61.99,10007,Germany,Groceries
INV1119,CLO496,Men's Shirt,1,02/13/2024,41.09,10034,Germany,Clothing
INV1120,CLO983,Men's Shirt,2,02/13/2024,156.84,10034,Canada,Clothing
INV1121,ELE638,Smartphone,3,02/14/2024,190.66,10032,Canada,Electronics
INV1122,CLO402,T-Shirt,5,02/14/2024,131.32,10004,Australia,Clothing
INV1123,CLO486,T-Shirt,3,02/14/2024,87.77,10040,Canada,Clothing
INV1124,ELE262,Bluetooth Speaker,1,02/15/2024,133.82,10027,Canada,Electronics
INV1125,ELE307,Laptop Charger,3,02/15/2024,193.96,10006,USA,Electronics
INV1126,CLO408,T-Shirt,3,02/16/2024,170.51,10072,Canada,Clothing
INV1127,GRO448,Pasta,4,02/16/2024,16.18,10071,Canada,Groceries
INV1128,ELE657,Smartphone,1,02/16/2024,10.23,10011,USA,Electronics
INV1129,ELE951,Laptop Charger,4,02/17/2024,116.1,10033,USA,Electronics
INV1130,GRO216,Green Tea,2,02/17/2024,161.54,10032,Australia,Groceries
INV1131,CLO171,Women's Summer Dress,5,02/17/2024,23.76,10047,UK,Clothing
INV1132,ELE400,Smartphone,1,02/18/2024,173.42,10022,USA,Electronics
INV1133,GRO187,Pasta,1,02/18/2024,55.99,10061,USA,Groceries
INV1134,ELE759,Laptop Charger,1,02/18/2024,116.33,10087,UK,Electronics
INV1135,CLO324,Pleated Skirt,1,02/19/2024,177.68,10036,USA,Clothing
INV1136,CLO765,Jeans,2,02/19/2024,195.72,10098,UK,Clothing
INV1137,ELE242,Bluetooth Speaker,2,02/20/2024,17.82,10043,Canada,Electronics
INV1138,CLO416,Men's Shirt,3,02/20/2024,180.28,10085,USA,Clothing
INV1139,ELE458,Wireless Mouse,1,02/20/2024,144.72,10090,UK,Electronics
INV1140,ELE417,Laptop Charger,3,02/21/2024,102.04,10034,Australia,Electronics
INV1141,ELE121,Bluetooth Speaker,2,02/21/2024,101.37,10064,USA,Electronics
INV1142,ELE111,Smartphone,4,02/21/2024,40.31,10098,Germany,Electronics
INV1143,GRO246,Coffee Beans,4,02/22/2024,151.41,10046,Germany,Groceries
INV1144,GRO794,Green Tea,3,02/22/2024,40.72,10077,UK,Groceries
INV1145,GRO451,Green Tea,1,02/22/2024,103.72,10002,Canada,Groceries
INV1146,ELE134,Smartphone,5,02/23/2024,23.72,10000,USA,Electronics
INV1147,GRO916,Organic Honey,5,02/23/2024,148.16,10004,Germany,Groceries
INV1148,CLO831,Jeans,4,02/24/2024,155.87,10089,Canada,Clothing
INV1149,ELE707,Wireless Mouse,1,02/24/2024,93.34,10013,Germany,Electronics
INV1150,ELE677,Laptop Charger,2,02/24/2024,160.66,10026,UK,Electronics
INV1151,GRO285,Pasta,5,02/25/2024,50.03,10008,Germany,Groceries
INV1152,ELE836,Headphones,3,02/25/2024,157.44,10078,Canada,Electronics
INV1153,ELE625,Bluetooth Speaker,2,02/25/2024,44.39,10014,Germany,Electronics
INV1154,ELE652,Headphones,4,02/26/2024,86.95,10089,USA,Electronics
INV1155,ELE990,Wireless Mouse,1,02/26/2024,194.19,10041,UK,Electronics
INV1156,GRO360,Green Tea,1,02/26/2024,156.96,10076,Canada,Groceries
INV1157,CLO109,Men's Shirt,3,02/27/2024,93.98,10050,UK,Clothing
INV1158,CLO943,Pleated Skirt,1,02/27/2024,91.87,10062,Canada,Clothing
INV1159,GRO612,Organic Honey,1,02/28/2024,41.74,10095,Canada,Groceries
INV1160,CLO786,Men's Shirt,5,02/28/2024,111.37,10051,USA,Clothing
INV1161,CLO923,Jeans,4,02/28/2024,174.2,10095,Canada,Clothing
INV1162,GRO981,Green Tea,2,02/29/2024,33.36,10003,Germany,Groceries
INV1163,ELE100,Headphones,3,02/29/2024,95.92,10093,Germany,Electronics
INV1164,GRO260,Green Tea,1,02/29/2024,121.09,10022,Canada,Groceries
INV1165,ELE792,Laptop Charger,2,03-01-2024,193.37,10014,Australia,Electronics
INV1166,ELE316,Bluetooth Speaker,2,03-01-2024,194.89,10042,Australia,Electronics
INV1167,ELE393,Laptop Charger,4,03-02-2024,33.89,10028,Germany,Electronics
INV1168,ELE991,Bluetooth Speaker,2,03-02-2024,45.79,10035,Germany,Electronics
INV1169,ELE594,Headphones,2,03-02-2024,135.71,10012,UK,Electronics
INV1170,GRO513,Coffee Beans,2,03-03-2024,56.39,10031,UK,Groceries
INV1171,GRO687,Olive Oil,3,03-03-2024,186.88,10070,Canada,Groceries
INV1172,CLO246,Women's Summer Dress,5,03-03-2024,136.72,10058,USA,Clothing
INV1173,ELE803,Laptop Charger,1,03-04-2024,174.62,10085,USA,Electronics
INV1174,CLO856,Women's Summer Dress,5,03-04-2024,64.85,10027,Australia,Clothing
INV1175,ELE201,Headphones,4,03-04-2024,136.84,10065,UK,Electronics
INV1176,ELE378,Headphones,3,03-05-2024,175.09,10041,USA,Electronics
INV1177,ELE824,Wireless Mouse,1,03-05-2024,79.63,10044,Germany,Electronics
INV1178,GRO704,Organic Honey,1,03-06-2024,123.33,10061,USA,Groceries
INV1179,GRO201,Organic Honey,2,03-06-2024,121.54,10056,UK,Groceries
INV1180,ELE102,Wireless Mouse,5,03-06-2024,174.03,10005,UK,Electronics
INV1181,ELE728,Laptop Charger,5,03-07-2024,74.84,10027,Canada,Electronics
INV1182,CLO403,Pleated Skirt,5,03-07-2024,56.75,10027,Canada,Clothing
INV1183,GRO442,Pasta,2,03-07-2024,145.94,10043,Australia,Groceries
INV1184,CLO506,T-Shirt,3,03-08-2024,11.44,10083,Germany,Clothing
INV1185,GRO903,Olive Oil,3,03-08-2024,82.21,10029,Canada,Groceries
INV1186,CLO569,T-Shirt,3,03-08-2024,29.27,10061,Germany,Clothing
INV1187,CLO593,Jeans,3,03-09-2024,186.63,10074,Canada,Clothing
INV1188,GRO519,Coffee Beans,2,03-09-2024,85.98,10091,Germany,Groceries
INV1189,ELE449,Wireless Mouse,3,03-10-2024,33.41,10088,Canada,Electronics
INV1190,ELE258,Headphones,1,03-10-2024,117.79,10061,UK,Electronics
INV1191,ELE271,Wireless Mouse,5,03-10-2024,130.3,10096,Australia,Electronics
INV1192,CLO825,T-Shirt,4,03-11-2024,53.34,10000,USA,Clothing
INV1193,GRO477,Coffee Beans,1,03-11-2024,169.57,10026,USA,Groceries
INV1194,ELE392,Smartphone,4,03-11-2024,62.21,10061,Australia,Electronics
INV1195,GRO956,Coffee Beans,2,03-12-2024,155.66,10076,UK,Groceries
INV1196,CLO680,Pleated Skirt,1,03-12-2024,150.01,10002,UK,Clothing
INV1197,CLO761,T-Shirt,5,03-12-2024,131.97,10069,Canada,Clothing
INV1198,GRO749,Pasta,1,03/13/2024,84.27,10071,Germany,Groceries
INV1199,CLO869,Women's Summer Dress,3,03/13/2024,123.44,10026,UK,Clothing
INV1200,GRO473,Coffee Beans,5,03/14/2024,146.34,10008,USA,Groceries
INV1201,GRO401,Organic Honey,3,03/14/2024,124.61,10061,UK,Groceries
INV1202,GRO135,Green Tea,5,03/14/2024,179.9,10036,Australia,Groceries
INV1203,CLO990,Women's Summer Dress,1,03/15/2024,127.26,10096,Germany,Clothing
INV1204,CLO741,Jeans,4,03/15/2024,162.07,10050,Australia,Clothing
INV1205,CLO166,Pleated Skirt,4,03/15/2024,71.62,10043,Australia,Clothing
INV1206,ELE826,Bluetooth Speaker,4,03/16/2024,135.75,10023,USA,Electronics
INV1207,GRO570,Coffee Beans,4,03/16/2024,21.43,10078,Canada,Groceries
INV1208,ELE552,Laptop Charger,5,03/16/2024,130.64,10058,USA,Electronics
INV1209,GRO545,Coffee Beans,1,03/17/2024,166.14,10031,Canada,Groceries
INV1210,CLO747,Jeans,4,03/17/2024,100.23,10095,Germany,Clothing
INV1211,GRO726,Organic Honey,5,03/18/2024,150.06,10087,Canada,Groceries
INV1212,CLO385,Women's Summer Dress,5,03/18/2024,27.66,10051,UK,Clothing
INV1213,GRO883,Olive Oil,4,03/18/2024,158.59,10061,UK,Groceries
INV1214,CLO580,Jeans,2,03/19/2024,74.92,10057,USA,Clothing
INV1215,CLO860,Pleated Skirt,1,03/19/2024,106.85,10051,Australia,Clothing
INV1216,ELE295,Bluetooth Speaker,2,03/19/2024,107.98,10011,Australia,Electronics
INV1217,ELE242,Smartphone,4,03/20/2024,171.77,10038,UK,Electronics
INV1218,GRO141,Olive Oil,2,03/20/2024,129.31,10001,UK,Groceries
INV1219,ELE947,Smartphone,4,03/21/2024,165.56,10002,Germany,Electronics
INV1220,GRO958,Coffee Beans,2,03/21/2024,52.49,10055,Canada,Groceries
INV1221,ELE636,Bluetooth Speaker,2,03/21/2024,35.18,10080,USA,Electronics
INV1222,GRO209,Olive Oil,5,03/22/2024,70.33,10058,Australia,Groceries
INV1223,CLO752,Women's Summer Dress,5,03/22/2024,33.13,10001,Germany,Clothing
INV1224,ELE636,Laptop Charger,4,03/22/2024,25.19,10001,Canada,Electronics
INV1225,CLO757,Jeans,5,03/23/2024,30.08,10091,Germany,Clothing
INV1226,GRO159,Coffee Beans,3,03/23/2024,83.43,10053,Germany,Groceries
INV1227,GRO877,Coffee Beans,1,03/23/2024,21.05,10086,Australia,Groceries
INV1228,ELE155,Headphones,1,03/24/2024,91.76,10095,USA,Electronics
INV1229,GRO428,Green Tea,4,03/24/2024,67.62,10096,Australia,Groceries
INV1230,GRO708,Organic Honey,4,03/25/2024,130.31,10000,USA,Groceries
INV1231,CLO919,Jeans,5,03/25/2024,128.54,10018,Canada,Clothing
INV1232,ELE162,Bluetooth Speaker,5,03/25/2024,178.45,10001,Germany,Electronics
INV1233,GRO191,Pasta,5,03/26/2024,83.54,10052,Germany,Groceries
INV1234,ELE673,Bluetooth Speaker,3,03/26/2024,89.53,10043,Germany,Electronics
INV1235,ELE987,Bluetooth Speaker,5,03/26/2024,50.89,10089,Germany,Electronics
INV1236,ELE592,Bluetooth Speaker,5,03/27/2024,47.78,10031,Germany,Electronics
INV1237,CLO564,Jeans,3,03/27/2024,60.51,10069,Australia,Clothing
INV1238,GRO407,Green Tea,5,03/27/2024,102.77,10031,Canada,Groceries
INV1239,ELE723,Laptop Charger,4,03/28/2024,133.83,10067,Australia,Electronics
INV1240,CLO535,T-Shirt,5,03/28/2024,97.29,10054,Germany,Clothing
INV1241,ELE724,Headphones,1,03/29/2024,29.41,10074,USA,Electronics
INV1242,CLO229,Women's Summer Dress,4,03/29/2024,24.52,10055,USA,Clothing
INV1243,ELE925,Bluetooth Speaker,4,03/29/2024,158.42,10016,Canada,Electronics
INV1244,GRO875,Coffee Beans,3,03/30/2024,95.52,10037,USA,Groceries
INV1245,GRO954,Olive Oil,5,03/30/2024,38.53,10023,Canada,Groceries
INV1246,CLO107,T-Shirt,5,03/30/2024,17.22,10068,Australia,Clothing
INV1247,CLO534,T-Shirt,3,03/31/2024,12.3,10097,Germany,Clothing
INV1248,CLO465,Pleated Skirt,4,03/31/2024,76.44,10069,Australia,Clothing
INV1249,GRO639,Pasta,3,03/31/2024,43.08,10085,Germany,Groceries
INV1250,CLO649,Pleated Skirt,4,04-01-2024,180.79,10010,USA,Clothing
INV1251,CLO562,Pleated Skirt,2,04-01-2024,11.98,10015,Canada,Clothing
INV1252,ELE689,Laptop Charger,1,04-02-2024,132.34,10096,UK,Electronics
INV1253,GRO877,Coffee Beans,5,04-02-2024,33.79,10072,Australia,Groceries
INV1254,ELE792,Headphones,4,04-02-2024,39.76,10058,UK,Electronics
INV1255,GRO501,Olive Oil,1,04-03-2024,80.71,10069,Australia,Groceries
INV1256,ELE725,Laptop Charger,4,04-03-2024,55.73,10079,Germany,Electronics
INV1257,GRO987,Olive Oil,5,04-03-2024,64.32,10092,USA,Groceries
INV1258,CLO248,Pleated Skirt,5,04-04-2024,52,10002,Canada,Clothing
INV1259,GRO444,Pasta,4,04-04-2024,18.2,10019,UK,Groceries
INV1260,ELE312,Headphones,4,04-04-2024,165.38,10058,Australia,Electronics
INV1261,GRO560,Organic Honey,3,04-05-2024,154.06,10035,USA,Groceries
INV1262,GRO122,Pasta,5,04-05-2024,27.81,10018,Canada,Groceries
INV1263,GRO227,Olive Oil,5,04-06-2024,40.41,10089,UK,Groceries
INV1264,ELE975,Wireless Mouse,5,04-06-2024,177.48,10066,Canada,Electronics
INV1265,GRO965,Coffee Beans,3,04-06-2024,69.08,10018,Germany,Groceries
INV1266,ELE165,Smartphone,1,04-07-2024,81.3,10019,USA,Electronics
INV1267,ELE701,Bluetooth Speaker,2,04-07-2024,16.71,10095,USA,Electronics
INV1268,ELE517,Wireless Mouse,5,04-07-2024,79.91,10070,Australia,Electronics
INV1269,GRO200,Pasta,2,04-08-2024,79.98,10051,Germany,Groceries
INV1270,ELE253,Smartphone,5,04-08-2024,135.98,10032,Germany,Electronics
INV1271,ELE287,Laptop Charger,1,04-09-2024,83.66,10039,USA,Electronics
INV1272,GRO320,Organic Honey,3,04-09-2024,22.32,10038,UK,Groceries
INV1273,GRO987,Organic Honey,2,04-09-2024,123.88,10081,Australia,Groceries
INV1274,GRO159,Organic Honey,3,04-10-2024,104.67,10000,Australia,Groceries
INV1275,ELE175,Headphones,2,04-10-2024,144.46,10010,Canada,Electronics
INV1276,GRO839,Green Tea,1,04-10-2024,92.46,10091,UK,Groceries
INV1277,GRO212,Organic Honey,3,04-11-2024,162.26,10056,Australia,Groceries
INV1278,CLO217,Jeans,5,04-11-2024,42.96,10088,Canada,Clothing
INV1279,GRO498,Pasta,4,04-11-2024,82.93,10049,USA,Groceries
INV1280,ELE604,Headphones,4,04-12-2024,78.82,10022,UK,Electronics
INV1281,GRO718,Green Tea,1,04-12-2024,121.3,10030,Germany,Groceries
INV1282,ELE976,Wireless Mouse,3,04/13/2024,188.73,10093,UK,Electronics
INV1283,GRO680,Coffee Beans,5,04/13/2024,97.73,10041,Canada,Groceries
INV1284,CLO173,T-Shirt,5,04/13/2024,144.14,10098,UK,Clothing
INV1285,ELE740,Bluetooth Speaker,1,04/14/2024,11.34,10006,USA,Electronics
INV1286,ELE463,Laptop Charger,4,04/14/2024,85.78,10015,Canada,Electronics
INV1287,CLO824,Jeans,4,04/14/2024,18.47,10089,Canada,Clothing
INV1288,GRO319,Pasta,2,04/15/2024,61.67,10059,UK,Groceries
INV1289,CLO681,T-Shirt,4,04/15/2024,39.71,10001,Canada,Clothing
INV1290,GRO949,Organic Honey,2,04/15/2024,116.78,10000,Germany,Groceries
INV1291,ELE618,Wireless Mouse,2,04/16/2024,149.17,10047,Australia,Electronics
INV1292,GRO525,Green Tea,2,04/16/2024,89.57,10011,USA,Groceries
INV1293,CLO120,Pleated Skirt,2,04/17/2024,37.54,10068,UK,Clothing
INV1294,CLO470,Women's Summer Dress,1,04/17/2024,189.94,10036,Canada,Clothing
INV1295,CLO524,T-Shirt,1,04/17/2024,38.74,10031,Canada,Clothing
INV1296,GRO426,Coffee Beans,1,04/18/2024,109.44,10008,Germany,Groceries
INV1297,CLO127,Pleated Skirt,2,04/18/2024,113.08,10098,USA,Clothing
INV1298,CLO593,Pleated Skirt,2,04/18/2024,102.09,10018,Germany,Clothing
INV1299,CLO121,Pleated Skirt,1,04/19/2024,137.11,10047,UK,Clothing
INV1300,GRO778,Green Tea,4,04/19/2024,21.83,10079,Canada,Groceries
INV1301,GRO710,Coffee Beans,3,04/19/2024,159.39,10002,Germany,Groceries
INV1302,ELE977,Laptop Charger,4,04/20/2024,108.68,10019,Germany,Electronics
INV1303,GRO703,Organic Honey,3,04/20/2024,189.86,10023,UK,Groceries
INV1304,ELE546,Wireless Mouse,2,04/21/2024,22.39,10053,Australia,Electronics
INV1305,CLO326,Pleated Skirt,4,04/21/2024,95.82,10032,Australia,Clothing
INV1306,ELE808,Smartphone,3,04/21/2024,47.17,10023,Canada,Electronics
INV1307,ELE575,Laptop Charger,1,04/22/2024,119.74,10074,Germany,Electronics
INV1308,GRO658,Olive Oil,2,04/22/2024,40.01,10071,Canada,Groceries
INV1309,ELE485,Laptop Charger,3,04/22/2024,78.99,10035,Australia,Electronics
INV1310,ELE139,Smartphone,1,04/23/2024,123.64,10037,Germany,Electronics
INV1311,GRO359,Green Tea,3,04/23/2024,177.66,10083,Canada,Groceries
INV1312,GRO674,Olive Oil,5,04/23/2024,196.98,10098,Germany,Groceries
INV1313,ELE261,Headphones,4,04/24/2024,199.44,10088,UK,Electronics
INV1314,GRO346,Pasta,3,04/24/2024,140.5,10098,Australia,Groceries
INV1315,CLO892,Jeans,4,04/25/2024,179.15,10024,Germany,Clothing
INV1316,GRO575,Green Tea,5,04/25/2024,66.33,10092,UK,Groceries
INV1317,ELE671,Smartphone,4,04/25/2024,197.73,10017,UK,Electronics
INV1318,GRO975,Organic Honey,1,04/26/2024,77.98,10081,UK,Groceries
INV1319,ELE687,Smartphone,4,04/26/2024,109.83,10065,Germany,Electronics
INV1320,ELE774,Wireless Mouse,4,04/26/2024,182.02,10053,Australia,Electronics
INV1321,GRO413,Coffee Beans,3,04/27/2024,133.72,10034,USA,Groceries
INV1322,CLO750,Jeans,3,04/27/2024,130.49,10079,Canada,Clothing
INV1323,CLO165,Pleated Skirt,3,04/28/2024,140.4,10060,Canada,Clothing
INV1324,GRO759,Olive Oil,4,04/28/2024,198.43,10040,Australia,Groceries
INV1325,ELE914,Wireless Mouse,5,04/28/2024,16.31,10099,Germany,Electronics
INV1326,CLO753,Jeans,4,04/29/2024,175.53,10032,USA,Clothing
INV1327,GRO944,Organic Honey,2,04/29/2024,133.65,10067,Australia,Groceries
INV1328,GRO702,Pasta,2,04/29/2024,94.94,10032,Canada,Groceries
INV1329,CLO758,Men's Shirt,3,04/30/2024,90.28,10013,USA,Clothing
